id,father_height,mother_height,boy_dummy,prediction
5001,1.69,1.63,1,1.7379688302866554
5002,1.71,1.56,1,1.729966733391543
5003,1.68,1.67,1,1.7429587651450604
5005,1.88,1.59,1,1.7855597111391786
5007,1.71,1.64,1,1.7457889159651225
5008,1.73,1.69,1,1.7615200929303798
5012,1.68,1.65,1,1.7390032195016654
5015,1.65,1.61,1,1.7223286589297206
5025,1.75,1.64,1,1.7574735416786622
5027,1.76,1.68,1,1.768305789393837
5029,1.68,1.64,1,1.737025446679968
5031,1.73,1.66,1,1.7555867744652873
5034,1.72,1.64,1,1.7487100723935076
5035,1.71,1.67,1,1.751722234430215
5037,1.72,1.64,1,1.7487100723935076
5038,1.71,1.59,1,1.7359000518566354
5041,1.7,1.61,1,1.7369344410716452
5042,1.77,1.66,1,1.767271400178827
5044,1.76,1.63,1,1.7584169252853497
5048,1.82,1.61,1,1.771988318212264
5051,1.7,1.61,1,1.7369344410716452
5052,1.77,1.6,1,1.755404763248642
5053,1.77,1.69,1,1.7732047186439193
5055,1.72,1.6,1,1.7407989811067177
5056,1.7,1.6,1,1.7349566682499478
5057,1.73,1.62,1,1.7476756831784974
5058,1.73,1.55,1,1.7338312734266152
5062,1.72,1.68,1,1.7566211636802973
5064,1.66,1.65,1,1.7331609066448954
5070,1.76,1.64,1,1.760394698107047
5071,1.72,1.63,1,1.7467322995718102
5073,1.7,1.62,1,1.7389122138933428
5075,1.74,1.64,1,1.7545523852502773
5076,1.77,1.66,1,1.767271400178827
5077,1.71,1.65,1,1.74776668878682
5078,1.75,1.59,1,1.7475846775701749
5079,1.68,1.64,1,1.737025446679968
5084,1.69,1.57,1,1.7261021933564704
5086,1.63,1.62,1,1.7184641188946483
5089,1.82,1.61,1,1.771988318212264
5090,1.76,1.63,1,1.7584169252853497
5092,1.8,1.59,1,1.7621904597120994
5094,1.8,1.58,1,1.760212686890402
5095,1.7,1.59,1,1.7329788954282503
5096,1.71,1.7,1,1.7576555528953075
5097,1.81,1.68,1,1.7829115715357615
5101,1.73,1.72,1,1.767453411395472
5103,1.82,1.58,1,1.7660549997471717
5105,1.74,1.68,1,1.762463476537067
5108,1.87,1.67,1,1.7984607372843735
5112,1.77,1.63,1,1.7613380817137345
5113,1.7,1.64,1,1.7428677595367377
5115,1.76,1.67,1,1.7663280165721396
5118,1.72,1.68,1,1.7566211636802973
5119,1.73,1.67,1,1.757564547286985
5122,1.77,1.67,1,1.7692491730005244
5126,1.76,1.55,1,1.7425947427117698
5127,1.69,1.67,1,1.745879921573445
5128,1.68,1.62,1,1.7330699010365729
5129,1.67,1.62,1,1.7301487446081882
5133,1.74,1.64,1,1.7545523852502773
5134,1.75,1.6,1,1.7495624503918723
5136,1.79,1.62,1,1.765202621748807
5138,1.74,1.55,1,1.7367524298550001
5139,1.66,1.65,1,1.7331609066448954
5141,1.77,1.59,1,1.7534269904269446
5142,1.68,1.65,1,1.7390032195016654
5147,1.76,1.62,1,1.7564391524636522
5148,1.71,1.6,1,1.7378778246783328
5151,1.74,1.68,1,1.762463476537067
5152,1.79,1.72,1,1.7849803499657817
5155,1.67,1.66,1,1.738059835894978
5160,1.74,1.6,1,1.7466412939634874
5164,1.71,1.7,1,1.7576555528953075
5165,1.72,1.65,1,1.750687845215205
5166,1.68,1.61,1,1.7310921282148755
5169,1.73,1.6,1,1.7437201375351026
5170,1.7,1.55,1,1.7250678041414607
5172,1.67,1.63,1,1.7321265174298857
5173,1.75,1.63,1,1.7554957688569648
5174,1.73,1.6,1,1.7437201375351026
5176,1.73,1.57,1,1.7377868190700103
5177,1.81,1.62,1,1.7710449346055768
5179,1.67,1.59,1,1.7242154261430955
5180,1.62,1.62,1,1.7155429624662637
5181,1.68,1.62,1,1.7330699010365729
5183,1.7,1.67,1,1.7488010780018302
5184,1.68,1.65,1,1.7390032195016654
5185,1.7,1.65,1,1.7448455323584353
5186,1.73,1.59,1,1.7417423647134052
5187,1.78,1.68,1,1.774148102250607
5188,1.69,1.66,1,1.7439021487517476
5189,1.71,1.59,1,1.7359000518566354
5192,1.73,1.55,1,1.7338312734266152
5193,1.79,1.65,1,1.7711359402138993
5194,1.61,1.55,1,1.6987773962859964
5196,1.67,1.67,1,1.7400376087166753
5197,1.77,1.64,1,1.763315854535432
5199,1.63,1.66,1,1.7263752101814385
5204,1.72,1.68,1,1.7566211636802973
5205,1.71,1.65,1,1.74776668878682
5207,1.76,1.62,1,1.7564391524636522
5210,1.7,1.66,1,1.7468233051801327
5211,1.79,1.64,1,1.7691581673922019
5217,1.74,1.68,1,1.762463476537067
5223,1.73,1.68,1,1.7595423201086824
5224,1.73,1.64,1,1.7516312288218923
5226,1.69,1.63,1,1.7379688302866554
5230,1.71,1.7,1,1.7576555528953075
5232,1.7,1.62,1,1.7389122138933428
5234,1.8,1.6,1,1.7641682325337968
5235,1.65,1.65,1,1.7302397502165108
5238,1.73,1.54,1,1.7318535006049176
5240,1.74,1.69,1,1.7644412493587647
5242,1.79,1.64,1,1.7691581673922019
5244,1.67,1.64,1,1.734104290251583
5245,1.71,1.71,1,1.759633325717005
5246,1.76,1.55,1,1.7425947427117698
5250,1.62,1.59,1,1.7096096440011712
5251,1.7,1.61,1,1.7369344410716452
5255,1.74,1.62,1,1.7505968396068825
5258,1.75,1.59,1,1.7475846775701749
5262,1.73,1.59,1,1.7417423647134052
5263,1.65,1.55,1,1.7104620219995361
5264,1.69,1.63,1,1.7379688302866554
5267,1.77,1.63,1,1.7613380817137345
5268,1.71,1.67,1,1.751722234430215
5269,1.72,1.62,1,1.7447545267501128
5271,1.65,1.64,1,1.7282619773948131
5273,1.68,1.7,1,1.7488920836101527
5274,1.7,1.61,1,1.7369344410716452
5276,1.72,1.52,1,1.724976798533138
5277,1.72,1.65,1,1.750687845215205
5278,1.79,1.66,1,1.7731137130355967
5279,1.72,1.59,1,1.73882120828502
5281,1.74,1.66,1,1.7585079308936722
5282,1.64,1.65,1,1.7273185937881257
5283,1.75,1.65,1,1.7594513145003599
5286,1.73,1.72,1,1.767453411395472
5291,1.77,1.61,1,1.7573825360703395
5293,1.76,1.7,1,1.772261335037232
5294,1.73,1.63,1,1.7496534560001948
5295,1.69,1.58,1,1.728079966178168
5296,1.77,1.63,1,1.7613380817137345
5298,1.75,1.55,1,1.7396735862833852
5299,1.79,1.62,1,1.765202621748807
5300,1.74,1.65,1,1.7565301580719748
5301,1.69,1.61,1,1.7340132846432605
5302,1.66,1.61,1,1.7252498153581057
5305,1.75,1.59,1,1.7475846775701749
5307,1.67,1.63,1,1.7321265174298857
5310,1.74,1.65,1,1.7565301580719748
5314,1.76,1.58,1,1.7485280611768623
5318,1.71,1.67,1,1.751722234430215
5319,1.73,1.66,1,1.7555867744652873
5320,1.74,1.67,1,1.7604857037153696
5322,1.73,1.58,1,1.7397645918917077
5323,1.67,1.59,1,1.7242154261430955
5324,1.76,1.62,1,1.7564391524636522
5325,1.78,1.6,1,1.7583259196770271
5328,1.69,1.64,1,1.7399466031083528
5329,1.71,1.59,1,1.7359000518566354
5334,1.76,1.61,1,1.7544613796419548
5335,1.81,1.76,1,1.7987337541093413
5337,1.7,1.59,1,1.7329788954282503
5338,1.65,1.65,1,1.7302397502165108
5339,1.66,1.61,1,1.7252498153581057
5340,1.77,1.6,1,1.755404763248642
5341,1.63,1.55,1,1.7046197091427662
5342,1.7,1.63,1,1.7408899867150402
5343,1.67,1.67,1,1.7400376087166753
5348,1.71,1.58,1,1.733922279034938
5353,1.79,1.68,1,1.7770692586789916
5354,1.69,1.64,1,1.7399466031083528
5355,1.68,1.65,1,1.7390032195016654
5356,1.75,1.64,1,1.7574735416786622
5361,1.8,1.65,1,1.7740570966422844
5362,1.79,1.67,1,1.7750914858572941
5363,1.71,1.58,1,1.733922279034938
5364,1.69,1.6,1,1.732035511821563
