iter	MultiClass
0	1.380999651
1	1.376944752
2	1.37208751
3	1.367392727
4	1.362819577
5	1.358654049
6	1.354339828
7	1.350249588
8	1.346363182
9	1.342647883
10	1.338697827
11	1.335025421
12	1.331184674
13	1.327675126
14	1.324092688
15	1.320636994
16	1.317526877
17	1.314121233
18	1.310996856
19	1.308164738
20	1.304908536
21	1.301424754
22	1.298383877
23	1.295351365
24	1.292234706
25	1.289147458
26	1.286425465
27	1.28355588
28	1.280804734
29	1.278190908
30	1.275476805
31	1.273253356
32	1.270649462
33	1.268305331
34	1.265627872
35	1.263025323
36	1.260646701
37	1.258155179
38	1.255691927
39	1.25350946
40	1.251389988
41	1.249024903
42	1.246958628
43	1.24516977
44	1.243192156
45	1.241280371
46	1.239107714
47	1.237105303
48	1.235521887
49	1.233858004
50	1.23212881
51	1.230481455
52	1.228713698
53	1.226710863
54	1.224635623
55	1.222949463
56	1.221188467
57	1.219559292
58	1.217804447
59	1.216155544
60	1.214412786
61	1.212830425
62	1.211380218
63	1.209672055
64	1.208043977
65	1.206555923
66	1.205181362
67	1.203683326
68	1.202277004
69	1.200927872
70	1.199588353
71	1.198169877
72	1.196695805
73	1.195289434
74	1.194271864
75	1.192799194
76	1.191702527
77	1.190695552
78	1.189778625
79	1.188440455
80	1.187286545
81	1.186482982
82	1.185150508
83	1.183777637
84	1.182647452
85	1.18160358
86	1.180501855
87	1.179261102
88	1.178248144
89	1.177369042
90	1.17632357
91	1.175211002
92	1.174129659
93	1.173171164
94	1.172141058
95	1.171174234
96	1.170081035
97	1.168930736
98	1.167899844
99	1.166870806
100	1.165848222
101	1.164852848
102	1.164218329
103	1.163328485
104	1.162483772
105	1.161481962
106	1.160680394
107	1.159827016
108	1.158921493
109	1.158272178
110	1.15734182
111	1.15653217
112	1.155752048
113	1.154810448
114	1.153980955
115	1.153095167
116	1.152426378
117	1.151495475
118	1.150649477
119	1.149954381
120	1.149549785
121	1.148723554
122	1.147916471
123	1.14717414
124	1.146481055
125	1.14578338
126	1.145077681
127	1.144450033
128	1.143860792
129	1.143387907
130	1.14265168
131	1.14185684
132	1.141461887
133	1.140874663
134	1.140314279
135	1.139736995
136	1.13910922
137	1.138434481
138	1.137674039
139	1.137097103
140	1.136566573
141	1.135910452
142	1.135305716
143	1.134829664
144	1.134241496
145	1.133725058
146	1.133066435
147	1.1327348
148	1.132259294
149	1.131830015
150	1.131192796
151	1.130839245
152	1.130348144
153	1.129804334
154	1.129274311
155	1.128761081
156	1.128271177
157	1.127711972
158	1.127122906
159	1.126790981
160	1.12637641
161	1.12597209
162	1.12543958
163	1.125102077
164	1.124639788
165	1.124301826
166	1.123754142
167	1.123262411
168	1.122902084
169	1.122304323
170	1.121800769
171	1.121330529
172	1.120999015
173	1.120590867
174	1.120200755
175	1.119965457
176	1.119583587
177	1.11929987
178	1.118905751
179	1.11844001
180	1.118125962
181	1.117649356
182	1.117208876
183	1.116846671
184	1.116494844
185	1.116035101
186	1.115618681
187	1.115180241
188	1.114798278
189	1.114399569
190	1.114094113
191	1.113550309
192	1.113175841
193	1.112852198
194	1.112564687
195	1.11227069
196	1.111941389
197	1.111671225
198	1.111520038
199	1.111328017
200	1.110986208
201	1.110686812
202	1.110288566
203	1.109862129
204	1.109405381
205	1.109194083
206	1.108870796
207	1.10860137
208	1.10838445
209	1.108042781
210	1.10775154
211	1.107475586
212	1.10730358
213	1.106927347
214	1.106695384
215	1.106404321
216	1.106106019
217	1.105759769
218	1.105544456
219	1.105218343
220	1.104814796
221	1.10450442
222	1.104144046
223	1.103933369
224	1.103578907
225	1.103337793
226	1.103172106
227	1.102824009
228	1.102595567
229	1.102433897
230	1.102170466
231	1.10194793
232	1.101743366
233	1.101530859
234	1.101289957
235	1.101008164
236	1.100896801
237	1.100696543
238	1.100376106
239	1.100239287
240	1.100011878
241	1.09983148
242	1.099620733
243	1.099428784
244	1.099173928
245	1.098935592
246	1.098778658
247	1.09852574
248	1.098373393
249	1.098141568
250	1.09789446
251	1.097667895
252	1.097487212
253	1.097257225
254	1.097207115
255	1.097070919
256	1.096887349
257	1.096726621
258	1.096536242
259	1.096333546
260	1.096143709
261	1.095905953
262	1.095762656
263	1.095522042
264	1.095321503
265	1.095114931
266	1.094986787
267	1.094810298
268	1.094498644
269	1.094310126
270	1.094152235
271	1.09387139
272	1.093564283
273	1.093399892
274	1.093141778
275	1.092854548
276	1.092764956
277	1.092572017
278	1.092376626
279	1.092258589
280	1.091974108
281	1.09178858
282	1.091618815
283	1.091573689
284	1.09136092
285	1.091158228
286	1.091030054
287	1.090889019
288	1.090725768
289	1.090617801
290	1.090574983
291	1.090534411
292	1.090296585
293	1.090112113
294	1.08991294
295	1.089750459
296	1.089581848
297	1.089548556
298	1.089384919
299	1.089285121
300	1.089255817
301	1.089061208
302	1.088927917
303	1.088840094
304	1.088697379
305	1.088613751
306	1.088475139
307	1.08835069
308	1.088034809
309	1.08792139
310	1.087750223
311	1.08762245
312	1.087462757
313	1.087380584
314	1.087281381
315	1.087091583
316	1.08694078
317	1.086796381
318	1.086665366
319	1.086489049
320	1.086316101
321	1.086149638
322	1.086060357
323	1.085940019
324	1.085801206
325	1.085721103
326	1.085651677
327	1.085490398
328	1.085442214
329	1.085330173
330	1.08514446
331	1.08499716
332	1.084861525
333	1.08466006
334	1.084481145
335	1.084382266
336	1.084286684
337	1.084251125
338	1.084121196
339	1.083889025
340	1.083751997
341	1.083608525
342	1.083483647
343	1.083372322
344	1.083221485
345	1.083027361
346	1.082942944
347	1.082757559
348	1.082654409
349	1.082550937
350	1.082418803
351	1.082374332
352	1.082168214
353	1.08206558
354	1.08191941
355	1.081725929
356	1.081627059
357	1.081505964
358	1.081428254
359	1.081270234
360	1.081133054
361	1.081008492
362	1.080865913
363	1.080723302
364	1.080543554
365	1.08043612
366	1.080342026
367	1.080237982
368	1.080135567
369	1.080012879
370	1.07985127
371	1.079741161
372	1.079698642
373	1.079647379
374	1.07956947
375	1.079485687
376	1.079405708
377	1.079376118
378	1.079181373
379	1.079034154
380	1.078974667
381	1.078903675
382	1.078867104
383	1.078753362
384	1.078603345
385	1.078557912
386	1.078477566
387	1.078335591
388	1.078208575
389	1.078145659
390	1.078040608
391	1.077938134
392	1.07784086
393	1.077757686
394	1.077690711
395	1.077622567
396	1.07756757
397	1.07743894
398	1.077412258
399	1.077316231
400	1.077251864
401	1.077208549
402	1.077059248
403	1.077014284
404	1.076940122
405	1.076900139
406	1.076820035
407	1.076586053
408	1.07649433
409	1.076409112
410	1.076404321
411	1.076325096
412	1.076221747
413	1.076126358
414	1.076114843
415	1.076067328
416	1.075994256
417	1.075913179
418	1.075702148
419	1.07563304
420	1.075594311
421	1.075483864
422	1.07538645
423	1.075306001
424	1.075156199
425	1.075085467
426	1.074987038
427	1.074863937
428	1.074817958
429	1.074722743
430	1.074649179
431	1.074600007
432	1.074518007
433	1.074404943
434	1.07421908
435	1.074162362
436	1.074058051
437	1.074005287
438	1.073898864
439	1.073813701
440	1.073705491
441	1.073644089
442	1.073441796
443	1.073390385
444	1.073358028
445	1.073341078
446	1.073247005
447	1.073186882
448	1.073171439
449	1.073063453
450	1.073034043
451	1.072976541
452	1.072894054
453	1.072745339
454	1.072674323
455	1.072640095
456	1.072575985
457	1.072472272
458	1.072440482
459	1.072359132
460	1.072329772
461	1.072259583
462	1.072138817
463	1.072096988
464	1.071949527
465	1.071875904
466	1.071829373
467	1.071699844
468	1.071607402
469	1.071526021
470	1.071487703
471	1.071392234
472	1.071357372
473	1.071295159
474	1.071191094
475	1.07110747
476	1.071010903
477	1.070998533
478	1.070900337
479	1.07081029
480	1.070738973
481	1.070645871
482	1.070544524
483	1.07040054
484	1.070334079
485	1.070243519
486	1.070201145
487	1.070097368
488	1.070063844
489	1.069985749
490	1.069959015
491	1.069890291
492	1.069852853
493	1.069729165
494	1.069686223
495	1.069662137
496	1.069566439
497	1.069536765
498	1.069508626
499	1.069451006
500	1.069383782
501	1.06930451
502	1.069194172
503	1.06912203
504	1.069117534
505	1.069064208
506	1.068982359
507	1.068886445
508	1.068793658
509	1.068724476
510	1.068657125
511	1.068548676
512	1.068422298
513	1.068396091
514	1.068296838
515	1.068221855
516	1.068139383
517	1.068089384
518	1.068058156
519	1.068024674
520	1.067841582
521	1.067769662
522	1.067696309
523	1.06761852
524	1.06755457
525	1.067516969
526	1.067417028
527	1.067369609
528	1.067313913
529	1.067234301
530	1.067186725
531	1.067096177
532	1.067063704
533	1.067030798
534	1.066959705
535	1.06688582
536	1.066778488
537	1.06672482
538	1.066645741
539	1.066627158
540	1.066530567
541	1.06652342
542	1.06648109
543	1.066407093
544	1.066318457
545	1.066251251
546	1.066206158
547	1.066116584
548	1.066019631
549	1.065936097
