iter	Passed	Remaining
0	71	142918
1	124	124230
2	167	111703
3	212	106190
4	255	101957
5	313	104298
6	361	103011
7	406	101199
8	448	99149
9	468	93292
10	511	92531
11	557	92347
12	599	91653
13	642	91121
14	684	90563
15	727	90210
16	767	89492
17	810	89298
18	853	88961
19	893	88476
20	937	88350
21	980	88187
22	1038	89272
23	1099	90494
24	1146	90535
25	1190	90356
26	1233	90112
27	1278	90011
28	1320	89747
29	1368	89878
30	1416	89991
31	1473	90649
32	1526	90981
33	1571	90892
34	1619	90932
35	1666	90895
36	1714	90956
37	1765	91152
38	1822	91613
39	1874	91829
40	1925	91987
41	1971	91898
42	2020	91944
43	2040	90687
44	2084	90576
45	2138	90849
46	2188	90953
47	2243	91215
48	2295	91392
49	2349	91641
50	2398	91656
51	2449	91761
52	2568	94357
53	2635	94979
54	2688	95060
55	2734	94916
56	2778	94724
57	2824	94567
58	2870	94420
59	2920	94443
60	2984	94870
61	3042	95090
62	3100	95331
63	3150	95302
64	3194	95086
65	3238	94893
66	3282	94696
67	3330	94617
68	3376	94505
69	3423	94388
70	3470	94292
71	3514	94103
72	3565	94130
73	3596	93595
74	3642	93479
75	3695	93560
76	3720	92917
77	3738	92131
78	3779	91902
79	3837	92109
80	3885	92063
81	3902	91278
82	3946	91143
83	3997	91176
84	4064	91569
85	4119	91671
86	4166	91625
87	4211	91498
88	4260	91471
89	4309	91453
90	4358	91422
91	4405	91357
92	4452	91309
93	4500	91261
94	4546	91165
95	4594	91130
96	4647	91167
97	4697	91167
98	4748	91174
99	4797	91144
100	4843	91058
101	4889	90991
102	4937	90939
103	4983	90852
104	5029	90764
105	5076	90706
106	5123	90648
107	5170	90577
108	5221	90579
109	5269	90539
110	5316	90480
111	5365	90442
112	5408	90320
113	5454	90241
114	5498	90130
115	5544	90044
116	5590	89968
117	5637	89920
118	5683	89844
119	5729	89758
120	5774	89674
121	5817	89552
122	5860	89433
123	5904	89326
124	5949	89236
125	5992	89132
126	6053	89271
127	6107	89328
128	6138	89027
129	6181	88925
130	6225	88817
131	6284	88930
132	6318	88700
133	6380	88857
134	6453	89152
135	6495	89031
136	6542	88968
137	6587	88886
138	6632	88795
139	6676	88700
140	6751	89014
141	6831	89384
142	6895	89545
143	6941	89463
144	6970	89174
145	7018	89120
146	7077	89214
147	7125	89163
148	7171	89090
149	7214	88979
150	7258	88882
151	7301	88776
152	7345	88670
153	7391	88598
154	7436	88521
155	7481	88433
156	7525	88345
157	7572	88280
158	7617	88196
